,incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired
1493,Amoruso Fire,Y,2020-06-01T16:44:41Z,2020-06-01T15:52:43Z,"Unified command: CAL FIRE, Placer County Fire Department and Placer County Sheriffs Office",,Placer,"Sunset Blvd West and Amoruso Way, southwest of Lincoln",650.0,100.0,,,-121.390862,38.824371,Wildfire,a47ae21e-d488-4978-ade9-aeed0db63fa6,https://osfm.fire.ca.gov/incidents/2020/6/1/amoruso-fire/,,,2020-06-01,N,True,False
1501,Karchner Fire,Y,2020-06-05T12:33:42Z,2020-06-05T09:04:00Z,CAL FIRE Nevada Yuba Placer Unit ,,Placer,"Karchner Road and Riosa Road, East of Wheatland",39.0,100.0,,,-121.340239,38.98487,Wildfire,57a6f6b7-eba1-4ed7-ba7b-6b078b06731d,https://osfm.fire.ca.gov/incidents/2020/6/5/karchner-fire/,2020-06-05T12:32:00Z,2020-06-05,2020-06-05,N,True,False
1522,Watt Fire,Y,2020-06-11T20:51:28Z,2020-06-11T18:25:12Z,CAL FIRE Nevada-Yuba-Placer Unit,,Placer,PFE Rd and Watt Ave,40.0,100.0,Acreage change due to better mapping.,,-121.378879,38.733421,Wildfire,e86309b6-2223-4448-a7a2-bb83d4bc8352,https://osfm.fire.ca.gov/incidents/2020/6/11/watt-fire/,2020-06-11T20:46:00Z,2020-06-11,2020-06-11,N,True,False
1538,Nelson Fire,Y,2020-06-18T19:24:38Z,2020-06-18T16:56:59Z,CAL FIRE Nevada-Yuba-Placer Unit,,Placer,"Nelson Rd and Rockwell Ln, west of Lincoln",110.0,100.0,,,-121.33956,38.89178,Wildfire,2a79a833-693d-4dff-a199-c93b5a3ebe39,https://osfm.fire.ca.gov/incidents/2020/6/18/nelson-fire/,2020-06-18T19:24:00Z,2020-06-18,2020-06-18,N,True,False
1638,Duluth Fire,Y,2020-08-13T14:26:10Z,2020-08-10T18:58:13Z,Placer County Fire Department and Roseville Fire Department,,Placer,Duluth Ave and Nichols Dr,65.0,100.0,,,-121.318472,38.81111,Wildfire,56e82924-7e7b-4cd0-9221-7f299718b493,https://osfm.fire.ca.gov/incidents/2020/8/10/duluth-fire/,2020-08-11T14:25:00Z,2020-08-11,2020-08-10,N,False,False
1677,Perry Fire,Y,2020-08-26T19:35:14Z,2020-08-26T13:37:15Z,Unified command: CAL FIRE Nevada-Yuba-Placer Unit and City of Auburn Fire Dept,,Placer,Perry Ranch Rd and Werner Rd,9.0,100.0,,,-121.10411,38.8825,Wildfire,3826c0d8-e78d-4608-889c-b7c4f6c37a25,https://osfm.fire.ca.gov/incidents/2020/8/26/perry-fire/,,,2020-08-26,N,True,False
1715,Point Fire (Placer County),Y,2020-11-09T17:51:41Z,2020-10-26T08:21:48Z,USFS El Dorado National Forest,,Placer,"Nevada Point Rd and Long Creek Rd, east of Foresthill",,,,USFS El Dorado National Forest,-120.488892,39.009454,Wildfire,57d6e532-295c-4166-a6f3-1cc64acbf5de,https://osfm.fire.ca.gov/incidents/2020/10/26/point-fire-placer-county/,2020-11-09T17:51:00Z,2020-11-09,2020-10-26,N,False,False
1803,Watt Fire,Y,2021-06-21T19:04:51Z,2021-06-21T16:41:35Z,Placer County Fire Department,,Placer,"Watt Ave at PFE Rd, north of Sacramento",42.0,100.0,,,-121.39247,38.728881,Wildfire,1702e4de-4414-4604-a70d-e0f54df154bd,https://osfm.fire.ca.gov/incidents/2021/6/21/watt-fire/,2021-06-21T19:04:05Z,2021-06-21,2021-06-21,N,False,False
1890,Bridge Fire,Y,2021-09-14T18:21:02Z,2021-09-05T12:53:14Z,"Unified Command: CALFIRE Nevada-Placer Unit, Placer County Sheriff, California State Parks",,Placer,Under the Foresthill bridge in Auburn,411.0,100.0,,,-121.036613,38.921239,Wildfire,ff71cd3b-2261-4248-92fa-f24733cfdcfe,https://osfm.fire.ca.gov/incidents/2021/9/5/bridge-fire/,2021-09-14T18:20:39Z,2021-09-14,2021-09-05,N,True,False
1654,Jones Fire,Y,2020-08-28T16:25:02Z,2020-08-17T06:50:32Z,Unified Command: CAL FIRE Nevada-Yuba-Placer Unit and Nevada County Consolidated Fire Protection District,,Nevada,"Jones Bar Rd, Yuba River Drainage, northwest of Nevada City",705.0,100.0,,"CAL FIRE Nevada-Yuba-Placer Unit, Nevada County Consolidated Fire Protection District",-121.100352,39.29241,Wildfire,a7b2fc4a-18ce-4a89-b192-24c1389c014c,https://osfm.fire.ca.gov/incidents/2020/8/17/jones-fire/,2020-08-28T16:19:00Z,2020-08-28,2020-08-17,N,True,False
1881,Bennett Fire,Y,2021-08-28T20:00:54Z,2021-08-25T15:33:00Z,"Unified Command: CAL FIRE Nevada-Yuba-Placer Unit, Nevada County Consolidated Fire District and Grass Valley Fire Department",,Nevada,"East Bennett Rd and Lava Rock Ave, Grass Valley",59.0,100.0,,,-121.040771,39.216752,Wildfire,69c42b3f-a4ec-47d2-a856-e4f8bc71c6cc,https://osfm.fire.ca.gov/incidents/2021/8/25/bennett-fire/,,,2021-08-25,N,True,False
1514,Cronan Fire ,Y,2020-06-10T18:11:53Z,2020-06-09T14:35:25Z,CAL FIRE Amador-El Dorado Unit,,El Dorado,"at Cronan Ranch off of Pedro Hill, near the community of Pilot Hill",29.0,100.0,,,-120.988571,38.827755,Wildfire,d77e9eeb-a4ed-41b8-adff-9dd99aac5971,https://osfm.fire.ca.gov/incidents/2020/6/9/cronan-fire/,,,2020-06-09,N,True,False
1579,Brandon Fire,Y,2020-07-08T20:33:43Z,2020-07-07T16:06:21Z,CAL FIRE Amador-El Dorado Unit,,El Dorado, Brandon Rd,32.0,100.0,,"Cameron Park Fire Dept, Shingle Springs Rancheria Tribal Fire Dept, El Dorado Hills Fire Dept., Garden Valley Fire Protection Dist., Rescue Fire Protection Dist., Diamond Springs-El Dorado Fire Protection Dist., Bureau of Land Management, USFS, El Dorado County Sheriff’s Office, PG&E",-120.941267,38.58488,Wildfire,f398ee10-0c99-4096-be61-7c1611035ce1,https://osfm.fire.ca.gov/incidents/2020/7/7/brandon-fire/,,,2020-07-07,N,True,False
1624,Sophia Fire,Y,2020-08-02T09:12:41Z,2020-08-02T09:12:41Z,CAL FIRE Amador-El Dorado Unit,,El Dorado,Sophia Park Way and Alexandra Dr near El Dorado Hills in El Dorado County. ,36.0,100.0,,,-121.103299,38.686478,Wildfire,dddf569c-7540-4822-8bf4-bd15d5c4473e,https://osfm.fire.ca.gov/incidents/2020/8/2/sophia-fire/,2020-08-02T09:11:00Z,2020-08-02,2020-08-02,N,True,False
1658,Murphy Fire,Y,2020-08-19T18:51:15Z,2020-08-17T20:06:44Z,CAL FIRE Amador – El Dorado Unit,,El Dorado,"Johntown Creek Road, Garden Valley",14.0,100.0,,,-120.876546,38.840068,Wildfire,1b0a862b-8fd9-4aa9-8ac7-f6ca6b3cbd39,https://osfm.fire.ca.gov/incidents/2020/8/17/murphy-fire/,2020-08-19T18:50:00Z,2020-08-19,2020-08-17,N,True,False
1687,Fork Fire,Y,2020-11-09T17:48:59Z,2020-09-08T13:03:25Z,,,El Dorado,"South Fork Road and Trail View, northeast of Pollock Pines in El Dorado County. ",,,,Eldorado National Forest,-120.394,38.99,Wildfire,1e437685-8470-4dd5-bf6c-54e75143d36a,https://osfm.fire.ca.gov/incidents/2020/9/8/fork-fire/,2020-11-09T17:48:00Z,2020-11-09,2020-09-08,N,False,False
1707,Cameron Fire,Y,2020-10-21T17:16:51Z,2020-10-18T20:42:24Z,CAL FIRE Amador-El Dorado Unit,,El Dorado,North of Durock Road and South of Highway 50 between Cameron Park Drive and Ponderosa Road in El Dorado county. ,15.0,100.0,,,-120.964726,38.659387,Wildfire,cbd8fd0c-8d0f-4df3-aea3-1355a685bb96,https://osfm.fire.ca.gov/incidents/2020/10/18/cameron-fire/,2020-10-21T17:16:00Z,2020-10-21,2020-10-18,N,True,False
1750,Salmon Fire,Y,2021-05-12T22:17:49Z,2021-05-01T21:02:48Z,CAL FIRE Amador-El Dorado Unit,,El Dorado,"Salmon Falls Road at the American River, North East of El Dorado Hills in El Dorado County.",32.0,100.0,"Firefighters worked throughout the night and as of this morning have achieved 40% containment. The focus today is to strengthen containment lines and mop up hot spots. With the help of firefighters from CAL FIRE - Santa Clara Unit, it is anticipated that crews will make good progress toward full containment today.",,-121.034998,38.773294,Wildfire,63892d1b-fd0d-4120-be74-242857e211ee,https://osfm.fire.ca.gov/incidents/2021/5/1/salmon-fire/,,,2021-05-01,N,True,False
1764,Settlers Fire,Y,2021-05-21T12:59:28Z,2021-05-19T14:56:00Z,CAL FIRE Amador El Dorado Unit,,El Dorado,"Settlers Trail, East of Latrobe",45.0,100.0,,,-121.01365,38.56101,,aefbc94c-63b5-4767-aa12-a8bc8ed80d87,https://osfm.fire.ca.gov/incidents/2021/5/19/settlers-fire/,2021-05-21T12:59:21Z,2021-05-21,2021-05-19,N,True,False
1788,Equestrian Fire,Y,2021-06-16T17:08:03Z,2021-06-16T14:03:42Z,CAL FIRE Amador-El Dorado Unit,,El Dorado,"Equestrian Way and Square Nail Trail, south of Pilot Hill",10.0,100.0,,,-121.01273,38.79988,Wildfire,26ec9c89-912e-4c23-a6c9-04b5dcb31970,https://osfm.fire.ca.gov/incidents/2021/6/16/equestrian-fire/,2021-06-16T17:07:52Z,2021-06-16,2021-06-16,N,True,False
1810,Steins Fire,Y,2021-06-27T16:52:41Z,2021-06-26T13:05:41Z,CAL FIRE/ Amador-El Dorado Unit,,El Dorado,Kingvale Rd and Wildcrest Rd,11.0,100.0,,,-120.876096,38.659971,Wildfire,b3136d0f-6ef3-46ea-9342-6d6b0d82d274,https://osfm.fire.ca.gov/incidents/2021/6/26/steins-fire/,2021-06-27T15:35:26Z,2021-06-27,2021-06-26,N,True,False
